queue_lag_1h,queue_lag_2h,queue_lag_3h,queue_lag_6h,queue_lag_12h,queue_lag_24h,queue_roll_mean_3h,queue_roll_std_3h,queue_roll_mean_6h,queue_roll_std_6h,queue_roll_mean_12h,queue_roll_std_12h,arrival_lag_1h,arrival_lag_3h,arrival_lag_6h,hour_sin,hour_cos,dow_sin,dow_cos
44.0,43.0,44.0,41.0,37.0,42.0,43.666666666666664,0.5773502691895648,42.666666666666664,1.7511900715421231,41.083333333333336,2.23437334445775,4.0,3.0,4.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
39.0,44.0,43.0,40.0,39.0,42.0,42.0,2.645751311064577,42.333333333333336,2.2509257354847634,41.25,1.959823739755223,1.0,3.0,3.0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336
41.0,39.0,44.0,44.0,40.0,40.0,41.333333333333336,2.5166114784235694,42.5,2.073644135333013,41.416666666666664,1.8319554050411957,4.0,4.0,8.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
40.0,41.0,39.0,44.0,40.0,41.0,40.0,0.9999999999999671,41.833333333333336,2.136976056643478,41.416666666666664,1.8319554050411957,4.0,1.0,3.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336
39.0,40.0,41.0,43.0,41.0,37.0,40.0,0.9999999999999671,41.0,2.097617696340458,41.333333333333336,1.9227505550561539,6.0,4.0,3.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336
40.0,39.0,40.0,44.0,40.0,37.0,39.666666666666664,0.5773502691895693,40.5,1.870828693387112,41.25,1.9598237397552227,8.0,4.0,4.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
40.0,40.0,39.0,39.0,41.0,38.0,39.666666666666664,0.5773502691895693,39.833333333333336,0.7527726527093281,41.25,1.9598237397552227,10.0,6.0,1.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
39.0,40.0,40.0,41.0,40.0,40.0,39.666666666666664,0.5773502691895693,39.833333333333336,0.7527726527093281,41.083333333333336,2.065224325624357,4.0,8.0,4.0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336
39.0,39.0,40.0,40.0,44.0,38.0,39.333333333333336,0.5773502691895693,39.5,0.5477225575054337,41.0,2.132007163555886,8.0,10.0,4.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
40.0,39.0,39.0,39.0,44.0,36.0,39.333333333333336,0.5773502691895693,39.5,0.5477225575054337,40.666666666666664,1.9227505550561623,5.0,4.0,6.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336
42.0,40.0,39.0,40.0,43.0,36.0,40.333333333333336,1.527525231651924,40.0,1.0954451150105204,40.5,1.6787441193287642,4.0,8.0,8.0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
39.0,42.0,40.0,40.0,44.0,37.0,40.333333333333336,1.527525231651924,39.833333333333336,1.169045194450171,40.166666666666664,1.5275252316516519,3.0,5.0,10.0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336
41.0,39.0,42.0,39.0,39.0,37.0,40.666666666666664,1.527525231651924,40.0,1.2649110640675145,39.916666666666664,0.9962049198951737,8.0,4.0,4.0,0.0,1.0,0.9749279121818236,-0.22252093395631434
39.0,41.0,39.0,39.0,41.0,39.0,39.666666666666664,1.1547005383792202,40.0,1.2649110640675145,39.916666666666664,0.9962049198951737,2.0,3.0,8.0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
38.0,39.0,41.0,40.0,40.0,40.0,39.333333333333336,1.527525231651924,39.833333333333336,1.4719601443881012,39.666666666666664,1.0730867399769068,2.0,8.0,5.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
37.0,38.0,39.0,42.0,39.0,40.0,38.0,0.9999999999999671,39.333333333333336,1.8618986725025943,39.416666666666664,1.3113721705511712,0.0,2.0,4.0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434
37.0,37.0,38.0,39.0,40.0,41.0,37.333333333333336,0.5773502691895693,38.5,1.5165750888103302,39.25,1.484771179187076,0.0,2.0,3.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
36.0,37.0,37.0,41.0,40.0,40.0,36.666666666666664,0.5773502691895693,38.0,1.788854381999815,38.916666666666664,1.7298624923453818,1.0,0.0,8.0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434
37.0,36.0,37.0,39.0,39.0,41.0,36.666666666666664,0.5773502691895693,37.333333333333336,1.0327955589885374,38.666666666666664,1.775250729196947,1.0,0.0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
38.0,37.0,36.0,38.0,39.0,40.0,37.0,0.9999999999999671,37.166666666666664,0.7527726527089067,38.583333333333336,1.7816403745541822,1.0,1.0,2.0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
